run_id,source,fit_role,parameters,optimized_tokens,compute_proxy,wall_time_seconds,wall_time_scope,best_heldout_bpb,final_heldout_bpb,seed,context,tokenizer,tokenizer_identity,corpus_identity,evaluation_identity
research41-n95568-seed1337,research41,core,95568,65772,37714190976,2.741299029000004,trajectory_wall_seconds,3.875612846985032,3.875612846985032,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
research41-n267912-seed1337,research41,core,267912,65772,105726648384,4.651840980999964,trajectory_wall_seconds,3.2960891746711924,3.2960891746711924,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
research41-n467808-seed1337,research41,core,467808,65772,184612006656,5.626864809999972,trajectory_wall_seconds,3.057124995889164,3.057124995889164,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
research41-n1037696-seed1337,research41,core,1037696,65772,409508047872,9.729012458,trajectory_wall_seconds,2.94530582679074,2.94530582679074,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
fixed-compute-n95568-seed1337,fixed_budget,stress,95568,182952,104906140416,8.796756005999981,candidate_total_wall_seconds,3.033715310027605,3.033715310027605,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
fixed-compute-n267912-seed1337,fixed_budget,stress,267912,65268,104916482496,5.400293809999965,candidate_total_wall_seconds,3.2967360201518705,3.2967360201518705,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
fixed-compute-n467808-seed1337,fixed_budget,stress,467808,37296,104684203008,3.711717675999978,candidate_total_wall_seconds,3.5119431081175967,3.5119431081175967,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
fixed-compute-n1037696-seed1337,fixed_budget,stress,1037696,16632,103553759232,2.8718674609999653,candidate_total_wall_seconds,4.349503113207577,4.349503113207577,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
learn03-n467808-seed1337,learn03,stress_seed_replication,467808,262332,736326049536,24.89603252300003,run_wall_seconds,3.057124995889164,3.798958326850685,1337,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
learn03-n467808-seed1338,learn03,stress_seed_replication,467808,262332,736326049536,24.517385692000005,run_wall_seconds,3.0579617919507247,4.021088196702823,1338,256,s0-byte-v1,b04055c1061dd641dcab7cb9d62a931f09b8d1a070140a926ceb4e91d73ca8e1,bab60119d49e93303c972b77900fcb5553817f754cbc5d9a58019228cfa0ca89,57f18a846dcca75955a82612382d4635ba9583965aa6628e77626cd2a3eb19c5
