model,held_out_parameters,optimized_tokens,actual_loss_nats,predicted_loss_nats,residual_nats_pred_minus_actual
linear_log,95568,4284,5.119896444943872,5.2398517494855446,0.1199553045416728
linear_log,95568,16632,4.435370426366825,4.033631313289944,-0.40173911307688126
linear_log,95568,65772,2.686370117829578,2.811027030505852,0.12465691267627399
linear_log,267912,4284,4.811374362152402,4.846046902293353,0.034672540140951114
linear_log,267912,16632,3.8426814834670266,3.655073468876451,-0.18760801459057586
linear_log,267912,65772,2.284674918297494,2.447923285805386,0.16324836750789196
linear_log,467808,4284,4.6166608073923845,4.636064121136763,0.019403313744378536
linear_log,467808,16632,3.4341654494257257,3.440107428993056,0.0059419795673303355
linear_log,467808,65772,2.1190375715199083,2.2279063006065316,0.10886872908662326
linear_log,1037696,4284,4.302876755742743,4.291559521545304,-0.011317234197439241
linear_log,1037696,16632,3.014845819756536,3.056323062957368,0.041477243200831904
linear_log,1037696,65772,2.0415304297267802,1.8043086390566858,-0.2372217906700944
log_power,95568,4284,5.119896444943872,5.685491078264202,0.5655946333203303
log_power,95568,16632,4.435370426366825,3.904409789572457,-0.5309606367943682
log_power,95568,65772,2.686370117829578,2.6676320114403915,-0.01873810638918627
log_power,267912,4284,4.811374362152402,4.98707976874519,0.17570540659278766
log_power,267912,16632,3.8426814834670266,3.4817664466025935,-0.36091503686443316
log_power,267912,65772,2.284674918297494,2.41898628658884,0.13431136829134616
log_power,467808,4284,4.6166608073923845,4.663163270459203,0.04650246306681893
log_power,467808,16632,3.4341654494257257,3.273838589949041,-0.16032685947668446
log_power,467808,65772,2.1190375715199083,2.2874271459992026,0.16838957447929426
log_power,1037696,4284,4.302876755742743,4.203854173112891,-0.09902258262985253
log_power,1037696,16632,3.014845819756536,2.9350674331710813,-0.07977838658545489
log_power,1037696,65772,2.0415304297267802,2.0392440652129045,-0.0022863645138757605
inverse_quarter,95568,4284,5.119896444943872,5.442570937664639,0.3226744927207674
inverse_quarter,95568,16632,4.435370426366825,4.04758333976095,-0.3877870866058748
inverse_quarter,95568,65772,2.686370117829578,3.042476028807722,0.35610591097814437
inverse_quarter,267912,4284,4.811374362152402,4.842141344441864,0.030766982289462064
inverse_quarter,267912,16632,3.8426814834670266,3.469989046874535,-0.37269243659249174
inverse_quarter,267912,65772,2.284674918297494,2.4813348766878467,0.19665995839035277
inverse_quarter,467808,4284,4.6166608073923845,4.641890519196143,0.025229711803758548
inverse_quarter,467808,16632,3.4341654494257257,3.268903204988111,-0.16526224443761484
inverse_quarter,467808,65772,2.1190375715199083,2.279647394090351,0.16060982257044287
inverse_quarter,1037696,4284,4.302876755742743,4.439708853882238,0.13683209813949482
inverse_quarter,1037696,16632,3.014845819756536,3.0259962949994907,0.011150475242954538
inverse_quarter,1037696,65772,2.0415304297267802,2.007397398023814,-0.03413303170296622
inverse_sqrt,95568,4284,5.119896444943872,5.66135866731398,0.5414622223701082
inverse_sqrt,95568,16632,4.435370426366825,4.118630104380716,-0.31674032198610913
inverse_sqrt,95568,65772,2.686370117829578,3.328266818676137,0.641896700846559
inverse_sqrt,267912,4284,4.811374362152402,4.8125940347041105,0.0012196725517084062
inverse_sqrt,267912,16632,3.8426814834670266,3.3005945954162526,-0.5420868880507741
inverse_sqrt,267912,65772,2.284674918297494,2.525974306707222,0.2412993884097281
inverse_sqrt,467808,4284,4.6166608073923845,4.630928348472128,0.014267541079743928
inverse_sqrt,467808,16632,3.4341654494257257,3.123192310218456,-0.3109731392072699
inverse_sqrt,467808,65772,2.1190375715199083,2.3507562266448043,0.23171865512489598
inverse_sqrt,1037696,4284,4.302876755742743,4.538222119476463,0.23534536373371928
inverse_sqrt,1037696,16632,3.014845819756536,2.990396152672317,-0.02444966708421914
inverse_sqrt,1037696,65772,2.0415304297267802,2.197421389505822,0.15589095977904188
linear_log_t2,95568,4284,5.119896444943872,5.2198242731361795,0.09992782819230772
linear_log_t2,95568,16632,4.435370426366825,4.073417882256764,-0.3619525441100615
linear_log_t2,95568,65772,2.686370117829578,2.7912679378883962,0.10489782005881843
linear_log_t2,267912,4284,4.811374362152402,4.799408796939803,-0.011965565212599394
linear_log_t2,267912,16632,3.8426814834670266,3.7477246927631622,-0.09495679070386442
linear_log_t2,267912,65772,2.284674918297494,2.401910167272224,0.11723524897473014
linear_log_t2,467808,4284,4.6166608073923845,4.563895053604761,-0.05276575378762338
linear_log_t2,467808,16632,3.4341654494257257,3.5834784425218826,0.14931299309615698
linear_log_t2,467808,65772,2.1190375715199083,2.1567043546097056,0.03766678308979721
linear_log_t2,1037696,4284,4.302876755742743,4.194459659194315,-0.10841709654842813
linear_log_t2,1037696,16632,3.014845819756536,3.249221574117954,0.23437575436141778
linear_log_t2,1037696,65772,2.0415304297267802,1.7085099902470884,-0.33302043947969184
log_power_t2,95568,4284,5.119896444943872,5.528435604782841,0.40853915983896893
log_power_t2,95568,16632,4.435370426366825,4.12784914162295,-0.3075212847438751
log_power_t2,95568,65772,2.686370117829578,2.5949155192098687,-0.09145459861970906
log_power_t2,267912,4284,4.811374362152402,4.83214249365832,0.02076813150591761
log_power_t2,267912,16632,3.8426814834670266,3.7070557842858807,-0.13562569918114598
log_power_t2,267912,65772,2.284674918297494,2.344825362267169,0.06015044396967495
log_power_t2,467808,4284,4.6166608073923845,4.490966598164097,-0.12569420922828733
log_power_t2,467808,16632,3.4341654494257257,3.527929334049447,0.09376388462372143
log_power_t2,467808,65772,2.1190375715199083,2.204070356241886,0.08503278472197762
log_power_t2,1037696,4284,4.302876755742743,4.0142163405691305,-0.28866041517361296
log_power_t2,1037696,16632,3.014845819756536,3.2169415933866166,0.20209577363008036
log_power_t2,1037696,65772,2.0415304297267802,1.9484577034331403,-0.09307272629363994
compute_log,95568,4284,5.119896444943872,6.7647905435705935,1.6448940986267218
compute_log,95568,16632,4.435370426366825,4.854748176508853,0.4193777501420275
compute_log,95568,65772,2.686370117829578,3.4683422568429596,0.7819721390133818
compute_log,267912,4284,4.811374362152402,4.676282944134684,-0.1350914180177183
compute_log,267912,16632,3.8426814834670266,3.5653124667530522,-0.2773690167139744
compute_log,267912,65772,2.284674918297494,2.7082847112817374,0.4236097929842435
compute_log,467808,4284,4.6166608073923845,4.12749916194545,-0.4891616454469343
compute_log,467808,16632,3.4341654494257257,3.15464469528425,-0.2795207541414757
compute_log,467808,65772,2.1190375715199083,2.4023058665899253,0.28326829507001694
compute_log,1037696,4284,4.302876755742743,3.418004919988932,-0.8848718357538115
compute_log,1037696,16632,3.014845819756536,2.506746867334237,-0.5080989524222992
compute_log,1037696,65772,2.0415304297267802,1.8307084619642364,-0.2108219677625438
